"NAME10_1","geo","college","publicassistance","poverty","unemployment","owneroccupied","vacancy","employment_access_index","job_diversity_index","jobchange","Total.Mathematics.Avg.Scale.Score","Total.Reading.Average.Scale.Score","inverse.pct"
"Stamford","223",0.460027662517289,0.857630424183325,0.865431496830814,0.861582596222807,0.246609508963367,0.958859280037401,53552.1213578072,1957.5299489603,0.0686271917098558,256.5,239,0.9810099
"Stamford","210",0.77449947312961,0.993327773144287,0.974979149291076,0.899829254410928,0.775718849840256,0.947077409162717,33619.1715819169,1916.66194335463,0.0686271917098558,256.5,239,0.9810099
"Stamford","220",0.692522711390636,0.921267893660532,0.896728016359918,0.935483870967742,0.5,0.881081081081081,45195.7073257435,1851.76750993767,0.0686271917098558,256.5,239,0.9810099
"Stamford","222",0.325667351129363,0.83065953654189,0.762923351158645,0.840186519711742,0.109189189189189,0.907033144704931,65312.5338497792,1921.46988154554,0.0686271917098558,256.5,239,0.9810099
"Stamford","218.01",0.666424418604651,0.947774480712166,0.908605341246291,0.888247282608696,0.64748045178106,0.908845738942826,58687.4120322298,1893.22755810749,0.0686271917098558,256.5,239,0.9810099
"Stamford","212",0.82105719237435,0.987581312832643,0.968066232998226,0.905531914893617,0.828679602460956,0.983139534883721,46214.9205509835,1932.37541057715,0.0686271917098558,256.5,239,0.9810099
"Stamford","221",0.403268551236749,0.854746317512275,0.791734860883797,0.886138613861386,0.378352877746327,0.948021722265322,59786.2585269872,1887.25495649038,0.0686271917098558,256.5,239,0.9810099
"Stamford","217",0.764761904761905,0.933931240657698,0.842451420029895,0.926603432700994,0.201022644265888,0.888682252922423,65464.4613069647,1925.94515883688,0.0686271917098558,256.5,239,0.9810099
"Stamford","211",0.750431778929188,0.920258620689655,0.916810344827586,0.930426993132278,0.586806814063066,0.946552427580579,44918.8683620082,1891.16093604918,0.0686271917098558,256.5,239,0.9810099
"Stamford","219",0.741217063989962,0.909382151029748,0.833867276887872,0.897113460988854,0.600744284954811,0.968957871396896,38018.0456813935,1863.49778937037,0.0686271917098558,256.5,239,0.9810099
"Stamford","209",0.762422923467537,0.960554371002132,0.912046908315565,0.917664127675009,0.644137931034483,0.915121951219512,26892.5835651228,1991.39969138526,0.0686271917098558,256.5,239,0.9810099
"Stamford","207",0.777536860364267,0.966157929661579,0.985401459854015,0.969224456298728,0.895088771039889,0.983039791258969,23632.2216145103,2057.0179531701,0.0686271917098558,256.5,239,0.9810099
"Stamford","208",0.802512212142359,0.975141242937853,0.985310734463277,0.97167902899528,0.989308896525391,0.973597359735974,29960.3289193078,1943.23721063898,0.0686271917098558,256.5,239,0.9810099
