Year,Town,Industry,Units,Annual Average Employment,Total Annual Wages,Annual Average Wage
2009,New London,Total - All Industries,848,15608.75,941978110,60349.36238
2009,New Milford,Total - All Industries,872,8363.416667,353871597,42311.84588
2009,Newington,Total - All Industries,926,17038,800896543,47006.48803
2009,Newtown,Total - All Industries,772,7515.5,357237632,47533.44847
2009,Norfolk,Total - All Industries,91,348.75,12977775,37212.25806
2009,North Branford,Total - All Industries,355,4099.583333,183261139,44702.38171
2009,North Canaan,Total - All Industries,136,1986.083333,86074735,43338.93425
2009,North Haven,Total - All Industries,1062,19993,1014128495,50724.17821
2009,North Stonington,Total - All Industries,109,1067.416667,32556957,30500.70138
2009,Norwalk,Total - All Industries,3200,43360.16667,3489979896,80488.15686
2009,Norwich,Total - All Industries,975,16595.25,705520517,42513.40094
2009,Old Lyme,Total - All Industries,275,2574.166667,96511401,37492.28916
2009,Old Saybrook,Total - All Industries,624,6231.166667,240263583,38558.36248
2009,Orange,Total - All Industries,582,8493.916667,330089643,38861.88857
2009,Oxford,Total - All Industries,317,2637.166667,120413782,45660.28515
2009,Plainfield,Total - All Industries,326,4056.166667,137996287,34021.35522
2009,Plainville,Total - All Industries,596,8845,393515056,44490.11374
2009,Plymouth,Total - All Industries,224,2112.416667,85024556,40249.8983
2009,Pomfret,Total - All Industries,132,1576.083333,59824531,37957.72072
2009,Portland,Total - All Industries,249,2252.666667,85076967,37767.22418
2009,Preston,Total - All Industries,106,763.9166667,27315683,35757.41202
2009,Prospect,Total - All Industries,240,1945.583333,69945948,35951.14473
2009,Putnam,Total - All Industries,350,5931.083333,230642504,38887.07864
2009,Redding,Total - All Industries,256,1546,69774532,45132.29754
2009,Ridgefield,Total - All Industries,1028,9841.333333,762642987,77493.86807
2009,Rocky Hill,Total - All Industries,819,13534.08333,769767868,56876.2471
2009,Roxbury,Total - All Industries,96,289.9166667,10307113,35551.98505
2009,Salem,Total - All Industries,89,659.1666667,21272187,32271.333
2009,Salisbury,Total - All Industries,226,1964.083333,80624299,41049.327
2009,Scotland,Total - All Industries,23,119.1666667,3102324,26033.48811
2009,Seymour,Total - All Industries,343,4159.5,170221338,40923.50956
2009,Sharon,Total - All Industries,164,1184.361111,53474494,45150.49802
2009,Shelton,Total - All Industries,1283,22340.41667,1695438390,75891.08186
2009,Sherman,Total - All Industries,95,461.0833333,16334051,35425.37719
2009,Simsbury,Total - All Industries,668,10280.16667,654844742,63699.81764
2009,Somers,Total - All Industries,251,2551.25,119055509,46665.55963
2009,South Windsor,Total - All Industries,917,12142.16667,581016807,47851.16388
2009,Southbury,Total - All Industries,633,8828.694444,596575302,67572.31273
2009,Southington,Total - All Industries,1130,15352.41667,620629208,40425.50573
2009,Sprague,Total - All Industries,58,643.5833333,29270727,45480.86547
2009,Stafford,Total - All Industries,238,3661.75,149776405,40902.9576
2009,Stamford,Total - All Industries,5336,69323.83333,7233312692,104340.9221
2009,Sterling,Total - All Industries,57,409.5833333,14399295,35155.95931
2009,Stonington,Total - All Industries,753,7057.333333,265811134,37664.52872
2009,Stratford,Total - All Industries,1272,24238.5,1451283401,59875.13258
2009,Suffield,Total - All Industries,325,4037.083333,180498525,44710.13108
2009,Thomaston,Total - All Industries,249,2611.916667,112180893,42949.64477
2009,Thompson,Total - All Industries,154,1473.666667,51446393,34910.46799
2009,Tolland,Total - All Industries,342,4023.416667,180337629,44822.01172
2009,Torrington,Total - All Industries,1012,15385.58333,624220080,40571.75256
2009,Trumbull,Total - All Industries,1017,16969.25,919021587,54158.05572
2009,Union,Total - All Industries,17,154.25,5845032,37893.23825
2009,Vernon,Total - All Industries,650,8997.833333,333662302,37082.51638
2009,Voluntown,Total - All Industries,50,294.25,8417243,28605.75361
2009,Wallingford,Total - All Industries,1495,26890.33333,1440627670,53574.18416
2009,Warren,Total - All Industries,41,146.8333333,5462161,37199.73439
2009,Washington,Total - All Industries,220,1557.916667,64382886,41326.27077
2009,Waterbury,Total - All Industries,2290,39070.5,1662604925,42553.97103
2009,Waterford,Total - All Industries,631,10936.25,485843718,44425.07423
2009,Watertown,Total - All Industries,562,7873.333333,339477937,43117.43484
2009,West Hartford,Total - All Industries,1904,27036.83333,1162202153,42985.88295
2009,West Haven,Total - All Industries,953,13993.33333,636597445,45492.90936
2009,Westbrook,Total - All Industries,268,3669.75,141596705,38584.83684
2009,Weston,Total - All Industries,309,1267.25,70128607,55339.20458
2009,Westport,Total - All Industries,1931,16150.58333,1593780960,98682.56317
2009,Wethersfield,Total - All Industries,688,9831.5,457486728,46532.74963
2009,Willington,Total - All Industries,110,1398.166667,38950336,27858.14948
2009,Wilton,Total - All Industries,954,10570.08333,1004542381,95036.37288
2009,Winchester,Total - All Industries,330,3392.5,132983696,39199.32085
2009,Windham,Total - All Industries,557,10785.66667,401150849,37192.95815
2009,Windsor,Total - All Industries,865,23631.75,1539564814,65148.15086
2009,Windsor Locks,Total - All Industries,442,13776.58333,830393178,60275.69811
2009,Wolcott,Total - All Industries,329,3008.583333,108889678,36193.00712
2009,Woodbridge,Total - All Industries,330,3477.666667,131865027,37917.67286
2009,Woodbury,Total - All Industries,350,2100.75,77597051,36937.7846
2009,Woodstock,Total - All Industries,181,1752.833333,70371247,40147.14101
